epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.71,4.20852,5.54232,3.82081,4e-05,0.01508,2e-05,1e-05,5.26994,4.93694,4.04427,0.000660317,0.000660317,0.000660317
2,178.544,2.57696,2.7785,2.6007,0.25475,0.50556,0.21687,0.06918,2.27977,3.02832,2.53212,0.00130071,0.00130071,0.00130071
3,240.96,2.13198,1.90325,2.23093,0.66997,0.73333,0.69697,0.33396,1.71198,1.83973,2.05253,0.0019147,0.0019147,0.0019147
4,304.814,1.91328,1.53535,2.02156,0.61528,0.70159,0.66351,0.30725,1.84161,1.56587,2.06623,0.0018812,0.0018812,0.0018812
5,366.659,1.77341,1.32543,1.85955,0.81347,0.85159,0.85962,0.44892,1.62974,1.09607,1.89307,0.0018416,0.0018416,0.0018416
6,427.962,1.69047,1.19822,1.75596,0.81377,0.86032,0.86813,0.47419,1.50528,1.54236,1.75655,0.001802,0.001802,0.001802
7,490.693,1.64015,1.11783,1.7018,0.79669,0.7837,0.80885,0.41695,1.62655,1.48876,1.88808,0.0017624,0.0017624,0.0017624
8,551.866,1.62116,1.08028,1.7018,0.8159,0.84065,0.87046,0.47417,1.51843,1.06995,1.80223,0.0017228,0.0017228,0.0017228
9,613.765,1.57679,1.04211,1.65427,0.80219,0.88831,0.88463,0.48803,1.4962,0.93342,1.71887,0.0016832,0.0016832,0.0016832
10,676.966,1.57175,1.01072,1.65016,0.81789,0.88401,0.87712,0.46525,1.5424,0.9558,1.78229,0.0016436,0.0016436,0.0016436
11,738.778,1.54086,1.02535,1.61195,0.84144,0.89524,0.90746,0.52985,1.41367,0.87533,1.66679,0.001604,0.001604,0.001604
12,803.311,1.51838,0.95647,1.57558,0.86242,0.87143,0.91752,0.53426,1.38788,0.85335,1.61351,0.0015644,0.0015644,0.0015644
13,865.103,1.52982,0.96862,1.59432,0.85443,0.89903,0.91683,0.52045,1.4519,0.8713,1.63811,0.0015248,0.0015248,0.0015248
14,926.679,1.51956,0.96517,1.57218,0.85379,0.88492,0.91982,0.53513,1.40357,0.89712,1.63944,0.0014852,0.0014852,0.0014852
15,989.172,1.45868,0.90788,1.53738,0.82722,0.90057,0.91174,0.53598,1.36555,0.83355,1.60571,0.0014456,0.0014456,0.0014456
16,1050.11,1.46099,0.89076,1.53891,0.86809,0.90079,0.9206,0.54601,1.38586,0.80845,1.62351,0.001406,0.001406,0.001406
17,1112.03,1.44614,0.8876,1.51203,0.84146,0.89301,0.9107,0.53114,1.34859,0.86155,1.54963,0.0013664,0.0013664,0.0013664
18,1174.56,1.44106,0.87043,1.5176,0.86727,0.89196,0.92898,0.56498,1.30479,0.77402,1.54737,0.0013268,0.0013268,0.0013268
19,1235.2,1.40802,0.81463,1.5015,0.85357,0.92063,0.9322,0.55402,1.40379,0.78612,1.5974,0.0012872,0.0012872,0.0012872
20,1295.89,1.45136,0.83492,1.52898,0.84948,0.91375,0.93273,0.55126,1.40906,0.74648,1.63884,0.0012476,0.0012476,0.0012476
21,1358.82,1.44396,0.84295,1.51486,0.85472,0.91515,0.93325,0.55211,1.36995,0.7503,1.58658,0.001208,0.001208,0.001208
22,1419.66,1.40572,0.82736,1.47175,0.84086,0.90238,0.90379,0.5563,1.29053,0.77356,1.52139,0.0011684,0.0011684,0.0011684
23,1480.92,1.42319,0.82076,1.49886,0.8815,0.90918,0.93423,0.57206,1.31874,0.72287,1.53985,0.0011288,0.0011288,0.0011288
24,1541.65,1.38525,0.80432,1.48616,0.87338,0.90952,0.9387,0.58293,1.28994,0.69097,1.53651,0.0010892,0.0010892,0.0010892
25,1602.31,1.38619,0.81542,1.46292,0.87935,0.91396,0.94482,0.59337,1.26929,0.7041,1.51422,0.0010496,0.0010496,0.0010496
26,1663.81,1.37193,0.80263,1.45528,0.87639,0.92849,0.94967,0.58503,1.29674,0.6962,1.53842,0.00101,0.00101,0.00101
27,1724.16,1.38293,0.80251,1.46672,0.87508,0.91111,0.9467,0.58215,1.30482,0.74004,1.52223,0.0009704,0.0009704,0.0009704
28,1786.66,1.35986,0.7792,1.45603,0.8809,0.93571,0.95087,0.59208,1.28192,0.68491,1.51953,0.0009308,0.0009308,0.0009308
29,1847.36,1.35157,0.76104,1.44799,0.88864,0.91429,0.95429,0.59746,1.27601,0.67172,1.50283,0.0008912,0.0008912,0.0008912
30,1909.68,1.38037,0.7848,1.45141,0.89855,0.92085,0.96209,0.59738,1.28394,0.67392,1.49469,0.0008516,0.0008516,0.0008516
31,1969.92,1.33134,0.74685,1.43321,0.88106,0.91125,0.93975,0.59082,1.25734,0.72795,1.4908,0.000812,0.000812,0.000812
32,2029.4,1.34536,0.75638,1.43128,0.89068,0.93571,0.95401,0.60135,1.23692,0.65367,1.49911,0.0007724,0.0007724,0.0007724
33,2091.05,1.35034,0.74628,1.41987,0.88177,0.93571,0.9595,0.6118,1.23829,0.64382,1.47546,0.0007328,0.0007328,0.0007328
34,2151.34,1.3333,0.73928,1.42508,0.88634,0.92835,0.95576,0.60081,1.24601,0.64956,1.47137,0.0006932,0.0006932,0.0006932
35,2212.3,1.31864,0.73229,1.42269,0.89386,0.92857,0.95611,0.60008,1.2627,0.6564,1.48486,0.0006536,0.0006536,0.0006536
36,2273.8,1.33581,0.72518,1.41195,0.88964,0.93175,0.96132,0.60691,1.28656,0.6412,1.48242,0.000614,0.000614,0.000614
37,2335.07,1.28615,0.69997,1.38049,0.90379,0.91429,0.95522,0.60984,1.26234,0.63559,1.4793,0.0005744,0.0005744,0.0005744
38,2397.31,1.31832,0.72206,1.41212,0.89169,0.9213,0.95239,0.60255,1.23544,0.66328,1.47311,0.0005348,0.0005348,0.0005348
39,2458.79,1.29517,0.70209,1.39064,0.89163,0.93175,0.96142,0.62234,1.23354,0.61611,1.47105,0.0004952,0.0004952,0.0004952
40,2520.53,1.29387,0.69157,1.40401,0.91653,0.91429,0.96199,0.62272,1.20317,0.61952,1.44616,0.0004556,0.0004556,0.0004556
41,2581.45,1.25173,0.68468,1.45739,0.90042,0.9373,0.96133,0.62693,1.18674,0.60484,1.44387,0.000416,0.000416,0.000416
42,2641.65,1.2468,0.65986,1.4345,0.87267,0.93651,0.95422,0.62521,1.19747,0.62473,1.4413,0.0003764,0.0003764,0.0003764
43,2700.6,1.22725,0.63341,1.42103,0.9148,0.94127,0.96911,0.64273,1.19465,0.60062,1.42976,0.0003368,0.0003368,0.0003368
44,2759.91,1.22675,0.63674,1.44244,0.90157,0.93333,0.96578,0.64874,1.17231,0.58788,1.42264,0.0002972,0.0002972,0.0002972
45,2819.43,1.23243,0.62263,1.4175,0.90584,0.93917,0.96856,0.64093,1.19603,0.57559,1.43718,0.0002576,0.0002576,0.0002576
46,2879.07,1.20594,0.60733,1.4109,0.89002,0.96349,0.97081,0.64956,1.17218,0.57098,1.41998,0.000218,0.000218,0.000218
47,2938.86,1.20217,0.61899,1.40947,0.89556,0.95476,0.96995,0.65022,1.14554,0.56049,1.41043,0.0001784,0.0001784,0.0001784
48,2997.85,1.19547,0.61622,1.40288,0.90887,0.94198,0.96509,0.6553,1.13028,0.55865,1.39317,0.0001388,0.0001388,0.0001388
49,3057.98,1.17797,0.59125,1.38774,0.90955,0.94178,0.97127,0.6593,1.13285,0.54785,1.39808,9.92e-05,9.92e-05,9.92e-05
50,3117.28,1.17117,0.58644,1.37719,0.91149,0.94814,0.97239,0.66205,1.12942,0.54411,1.39412,5.96e-05,5.96e-05,5.96e-05
